model_name,group_id,trade_id,contribution,im_total,pct_of_im
simm_portfolio_aadc_py,0,IR_SWAP_000000,13233879255007.645,26650270167.040154,49657.580099787156
simm_portfolio_aadc_py,0,IR_SWAP_000002,23031774520913.46,26650270167.040154,86422.29281937305
simm_portfolio_aadc_py,0,IR_SWAP_000003,-833331974704.7871,26650270167.040154,-3126.9175489838535
simm_portfolio_aadc_py,0,IR_SWAP_000004,204329056352.34705,26650270167.040154,766.705384491944
simm_portfolio_aadc_py,0,IR_SWAP_000006,1238573656755.2925,26650270167.040154,4647.508820706456
simm_portfolio_aadc_py,0,IR_SWAP_000007,-2791334532982.1377,26650270167.040154,-10473.944599759945
simm_portfolio_aadc_py,0,IR_SWAP_000008,-746669342347.1914,26650270167.040154,-2801.7327316652804
simm_portfolio_aadc_py,1,IR_SWAP_000001,66199288556.15551,146024366369.03583,45.334412469803354
simm_portfolio_aadc_py,1,IR_SWAP_000005,144747769412866.5,146024366369.03583,99125.76442691553
simm_portfolio_aadc_py,1,IR_SWAP_000009,-347322206326.08777,146024366369.03583,-237.85222628415852
