timestamp,num_trades,num_portfolios,num_risk_factors,num_threads,pre_trade_checks,whatif_scenarios,optimize_iters,eod_computations,total_evals,backend,kernel_recording_sec,evals_per_sec,median_eval_sec,daily_time_sec,cost_per_hour,daily_cost_usd,annual_cost_usd
2026-02-03T14:11:12.654562,100,5,30,16,500,50,100,1,651,AADC Python,0.038192727995919995,1532.2101187998085,0.0006526520010083914,0.46306918065238273,3.06,0.00039360880355452537,0.0991894184957404
2026-02-03T14:11:12.654562,100,5,30,16,500,50,100,1,651,GPU (CUDA),0.0,619.4579789391337,0.001614314503967762,1.050918742083013,32.77,0.00956627977168343,2.410702502464224
2026-02-03T14:11:12.654562,100,5,30,16,500,50,100,1,651,BF GPU (no grad),0.0,1289.9547348771341,0.0007752210003673099,0.5046688712391187,32.77,0.004593888586251645,1.1576599237354146
2026-02-03T14:11:12.654562,100,5,30,16,500,50,100,1,651,C++ AADC,0.02917,85389.8,1.2e-05,0.03679386139796557,3.06,3.1274782188270736e-05,0.007881245111444226
2026-02-03T14:11:20.882988,500,5,30,16,500,50,100,1,651,AADC Python,0.03818149499420542,1741.7036093635227,0.0005741505010519177,0.4119534711790038,3.06,0.0003501604505021533,0.08824043352654264
2026-02-03T14:11:20.882988,500,5,30,16,500,50,100,1,651,GPU (CUDA),0.0,745.3667070346769,0.0013416215006145649,0.8733955969000817,32.77,0.007950326030671022,2.0034821597290975
2026-02-03T14:11:20.882988,500,5,30,16,500,50,100,1,651,BF GPU (no grad),0.0,1269.9283407355301,0.000787446006143,0.512627349999093,32.77,0.004666332849852854,1.1759158781629193
2026-02-03T14:11:20.882988,500,5,30,16,500,50,100,1,651,C++ AADC,0.019600000000000003,96218.6,1e-05,0.026365843610279098,3.06,2.2410967068737234e-05,0.005647563701321783
2026-02-03T14:11:30.194357,1000,5,30,16,500,50,100,1,651,AADC Python,0.03797086299164221,1519.2096533686322,0.0006582369969692081,0.46648314801859664,3.06,0.0003965106758158072,0.09992069030558341
2026-02-03T14:11:30.194357,1000,5,30,16,500,50,100,1,651,GPU (CUDA),0.0,805.6579700412419,0.0012412215073709376,0.8080352012984804,32.77,0.007355364874042001,1.8535519482585843
2026-02-03T14:11:30.194357,1000,5,30,16,500,50,100,1,651,BF GPU (no grad),0.0,1117.513855151067,0.0008948434915510006,0.5825431129997014,32.77,0.005302760503611171,1.3362956469100151
2026-02-03T14:11:30.194357,1000,5,30,16,500,50,100,1,651,C++ AADC,0.02587,89206.1,1.1e-05,0.03316770721957355,3.06,2.8192551136637522e-05,0.007104522886432656
2026-02-03T14:11:40.889798,2000,5,30,16,500,50,100,1,651,AADC Python,0.038623690998065285,1473.0653509240512,0.0006788565078750253,0.48055927762470674,3.06,0.00040847538598100074,0.10293579726721219
2026-02-03T14:11:40.889798,2000,5,30,16,500,50,100,1,651,GPU (CUDA),0.0,632.0585173281537,0.0015821319902897812,1.0299679256786476,32.77,0.009375569145691468,2.36264342471425
2026-02-03T14:11:40.889798,2000,5,30,16,500,50,100,1,651,BF GPU (no grad),0.0,1242.6250197020945,0.0008047480005188845,0.5238909483377938,32.77,0.004768862882508196,1.2017534463920654
2026-02-03T14:11:40.889798,2000,5,30,16,500,50,100,1,651,C++ AADC,0.02566,95102.2,1.1e-05,0.03250526751221318,3.06,2.7629477385381205e-05,0.006962628301116064
2026-02-03T14:11:56.095355,5000,5,30,16,500,50,100,1,651,AADC Python,0.038870477001182735,1538.3668923731343,0.0006500399904325604,0.4620465107727796,3.06,0.0003927395341568626,0.09897036260752937
2026-02-03T14:11:56.095355,5000,5,30,16,500,50,100,1,651,GPU (CUDA),0.0,734.4155147613059,0.0013616270080092363,0.8864191822140128,32.77,0.008068876833653668,2.0333569620807244
2026-02-03T14:11:56.095355,5000,5,30,16,500,50,100,1,651,BF GPU (no grad),0.0,1188.4692345395656,0.0008414184994762763,0.5477634431590559,32.77,0.004986168897867296,1.2565145622625586
2026-02-03T14:11:56.095355,5000,5,30,16,500,50,100,1,651,C++ AADC,0.0247,99462.9,1e-05,0.031245154022253523,3.06,2.6558380918915492e-05,0.006692711991566704
2026-02-03T14:12:17.774292,10000,5,30,16,500,50,100,1,651,AADC Python,0.03913332200318109,1416.9795326655808,0.0007057264956529252,0.4985612706732354,3.06,0.0004237770800722501,0.10679182417820703
2026-02-03T14:12:17.774292,10000,5,30,16,500,50,100,1,651,GPU (CUDA),0.0,1318.8871243969145,0.000758214999223128,0.4935979644942563,32.77,0.0044931125823546615,1.1322643707533746
2026-02-03T14:12:17.774292,10000,5,30,16,500,50,100,1,651,BF GPU (no grad),0.0,1863.104677362348,0.0005367384947021492,0.3494167600510991,32.77,0.0031806631185762554,0.8015271058812163
2026-02-03T14:12:17.774292,10000,5,30,16,500,50,100,1,651,C++ AADC,0.02189,108495.2,8.999999999999999e-06,0.02789026544953141,3.06,2.37067256321017e-05,0.005974094859289628
2026-02-03T14:12:54.096819,20000,5,30,16,500,50,100,1,651,AADC Python,0.03894507299992256,1405.3519969535205,0.0007115655025700107,0.5021742151729995,3.06,0.0004268480828970496,0.10756571689005649
2026-02-03T14:12:54.096819,20000,5,30,16,500,50,100,1,651,GPU (CUDA),0.0,1249.5072343055915,0.0008003154944162816,0.5210053868649993,32.77,0.00474259625765723,1.195134256929622
2026-02-03T14:12:54.096819,20000,5,30,16,500,50,100,1,651,BF GPU (no grad),0.0,1815.9102893320457,0.0005506879970198497,0.35849788605992217,32.77,0.0032633265906065697,0.8223583008328555
